school;sex;age;address;famsize;Pstatus;Medu;Fedu;Mjob;Fjob;reason;guardian;traveltime;studytime;failures;schoolsup;famsup;paid;activities;nursery;higher;internet;romantic;famrel;freetime;goout;Dalc;Walc;health;absences;G1;G2;G3
GP;F;15;R;GT3;T;3;4;services;health;course;mother;1;3;0;yes;yes;no;yes;yes;yes;yes;no;4;3;2;1;1;5;2;41;32;32
GP;F;15;R;GT3;T;2;2;at_home;other;reputation;mother;1;1;0;yes;yes;no;yes;yes;yes;no;no;4;3;1;1;1;2;8;69;64;70
GP;F;16;U;LE3;T;2;2;other;other;home;mother;2;2;0;no;yes;no;yes;no;yes;yes;yes;3;3;3;1;2;3;16;78;70;77
GP;M;15;U;LE3;T;4;4;teacher;other;home;other;1;1;0;no;yes;no;no;no;yes;yes;yes;5;4;3;2;4;5;8;68;55;64
GP;M;15;U;GT3;T;4;4;services;teacher;course;father;1;2;0;no;yes;no;yes;yes;yes;yes;no;4;3;3;1;1;5;0;63;63;60
GP;M;15;U;GT3;T;2;2;services;services;course;father;1;1;0;yes;yes;no;no;yes;yes;yes;no;5;4;1;1;1;1;0;60;42;51
GP;F;16;U;LE3;T;2;2;other;at_home;course;father;2;2;1;yes;no;no;yes;yes;yes;yes;no;4;3;3;2;2;5;14;38;38;39
GP;F;15;U;LE3;A;4;3;other;other;course;mother;1;2;0;yes;yes;yes;yes;yes;yes;yes;yes;5;2;2;1;1;5;4;52;49;51
GP;F;16;U;LE3;A;3;3;other;services;home;mother;1;2;0;no;yes;no;no;yes;yes;yes;no;2;3;5;1;4;3;6;57;46;55
GP;M;16;U;GT3;T;4;3;health;services;reputation;mother;1;4;0;no;no;no;yes;yes;yes;yes;no;4;2;2;1;1;2;2;84;74;80
GP;M;15;U;GT3;T;4;2;teacher;other;home;mother;1;2;0;no;yes;no;no;yes;yes;no;no;4;3;3;2;2;5;4;71;50;63
GP;F;15;U;GT3;T;4;4;services;teacher;other;father;1;2;0;yes;yes;no;yes;no;yes;yes;no;4;4;4;1;1;3;2;33;36;35
GP;F;16;U;LE3;T;2;2;services;services;course;mother;3;2;0;no;yes;no;no;yes;yes;yes;no;4;3;3;2;3;4;0;71;59;66
GP;F;15;U;LE3;T;4;2;health;other;other;mother;1;2;0;no;yes;no;no;yes;yes;yes;no;4;3;3;1;1;5;0;58;45;54
GP;M;15;U;LE3;A;4;2;health;health;other;father;2;1;0;no;no;no;no;yes;yes;no;no;5;5;5;3;4;5;4;53;53;46
GP;F;15;U;GT3;T;4;4;services;services;course;mother;1;1;0;yes;yes;no;no;yes;yes;yes;no;3;3;4;2;3;5;0;76;59;65
GP;F;15;U;LE3;A;3;3;other;other;other;mother;1;1;0;no;no;no;no;yes;yes;yes;no;5;3;4;4;4;1;0;84;60;68
GP;F;16;U;GT3;A;2;1;other;other;other;mother;1;2;0;no;no;no;yes;yes;yes;yes;yes;5;3;4;1;1;2;2;82;57;65
GP;F;15;U;GT3;A;4;3;services;services;reputation;mother;1;2;0;no;yes;no;yes;yes;yes;yes;no;4;3;2;1;1;1;0;50;47;47
GP;M;15;U;GT3;T;4;4;teacher;health;reputation;mother;1;2;0;no;yes;no;yes;yes;yes;no;no;3;2;2;1;1;5;8;59;40;56
GP;M;15;U;LE3;T;1;2;other;at_home;home;father;1;2;0;yes;yes;no;yes;yes;yes;yes;no;4;3;2;1;1;5;0;71;74;68
GP;F;16;U;GT3;T;4;2;services;other;course;mother;1;2;0;no;yes;yes;no;yes;yes;yes;no;4;2;3;1;1;5;2;83;54;72
GP;F;16;R;GT3;T;4;4;health;teacher;other;mother;1;2;0;no;yes;no;yes;yes;yes;no;no;2;4;4;2;3;4;0;56;61;50
GP;F;16;U;GT3;T;1;1;services;services;course;father;4;1;0;yes;yes;no;yes;no;yes;yes;yes;5;5;5;5;5;5;0;62;54;56
GP;F;16;U;LE3;T;1;2;other;services;reputation;father;1;2;0;yes;no;no;yes;yes;yes;yes;no;4;4;3;1;1;1;0;45;38;42
GP;F;16;U;GT3;T;4;3;teacher;health;home;mother;1;3;0;yes;yes;no;yes;yes;yes;yes;no;3;4;4;2;4;4;0;43;33;40
GP;F;15;U;LE3;T;4;3;services;services;reputation;father;1;2;0;yes;no;no;yes;yes;yes;yes;yes;4;4;4;2;4;2;0;80;71;79
GP;F;16;U;LE3;T;4;3;teacher;services;course;mother;3;2;0;no;yes;no;yes;yes;yes;yes;no;5;4;3;1;2;1;2;89;76;86
GP;M;15;U;GT3;A;4;4;other;services;reputation;mother;1;4;0;no;yes;no;yes;no;yes;yes;yes;1;3;3;5;5;3;0;64;63;62
GP;F;16;U;GT3;T;3;1;services;other;course;mother;1;4;0;yes;yes;no;no;yes;yes;yes;no;4;3;3;1;2;5;0;83;72;75
GP;F;15;R;LE3;T;2;2;health;services;reputation;mother;2;2;0;yes;yes;no;no;yes;yes;yes;no;4;1;3;1;3;4;0;72;62;71
GP;F;15;R;LE3;T;3;1;other;other;reputation;father;2;4;0;no;yes;no;no;no;yes;yes;no;4;4;2;2;3;3;6;53;42;46
GP;M;16;U;GT3;T;3;1;other;other;reputation;father;2;4;0;no;yes;no;no;yes;yes;yes;no;4;3;2;1;1;5;2;72;60;59
GP;M;15;U;GT3;T;4;2;other;other;course;mother;1;4;0;no;no;no;no;yes;yes;yes;no;3;3;3;1;1;3;0;93;81;81
GP;F;15;R;GT3;T;1;1;other;other;reputation;mother;1;2;0;yes;yes;no;no;no;yes;yes;yes;3;3;4;2;4;5;2;64;41;47
GP;M;16;U;GT3;T;3;1;other;other;reputation;mother;1;1;0;no;no;no;yes;yes;yes;no;no;5;3;2;2;2;5;0;93;68;82
GP;F;16;U;GT3;T;3;3;other;services;home;mother;1;2;0;yes;yes;no;yes;yes;yes;yes;no;4;3;3;2;4;5;4;18;21;20
GP;M;15;U;GT3;T;4;3;teacher;other;home;mother;1;2;0;no;yes;no;yes;yes;yes;yes;no;4;3;3;2;3;5;0;80;69;77
GP;M;15;U;GT3;T;4;0;teacher;other;course;mother;2;4;0;no;no;no;yes;yes;yes;yes;no;3;4;3;1;1;1;0;67;55;58
GP;F;16;U;GT3;T;2;2;other;other;reputation;mother;1;4;0;no;no;no;no;yes;yes;yes;yes;5;2;3;1;3;3;1;60;51;56
GP;M;17;U;GT3;T;2;1;other;other;home;mother;2;1;3;yes;yes;no;yes;yes;no;yes;no;4;5;1;1;1;3;0;67;59;66
GP;F;16;U;GT3;T;3;4;at_home;other;course;mother;1;2;0;no;yes;no;no;yes;yes;yes;no;2;4;3;1;2;3;14;29;21;23
GP;M;15;U;GT3;T;2;3;other;services;course;father;1;1;0;yes;yes;no;yes;no;yes;yes;yes;3;2;2;1;3;3;0;61;46;55
GP;M;15;U;GT3;T;2;3;other;other;home;mother;1;3;0;yes;no;no;no;no;yes;yes;no;5;3;2;1;2;5;2;71;62;63
GP;F;15;U;LE3;T;3;2;services;other;reputation;mother;1;2;0;no;yes;no;no;yes;yes;yes;no;4;4;4;1;1;5;4;92;70;78
GP;M;15;U;LE3;T;2;2;services;services;home;mother;2;2;0;no;no;yes;yes;yes;yes;yes;no;5;3;3;1;3;4;2;56;51;51
GP;F;15;U;GT3;T;1;1;other;other;home;father;1;2;0;no;yes;no;yes;no;yes;yes;no;4;3;2;2;3;4;2;50;29;32
GP;F;15;U;GT3;T;4;4;services;services;reputation;father;2;2;0;no;no;no;no;yes;yes;yes;yes;4;4;4;2;3;5;4;56;56;58
GP;F;16;U;LE3;T;2;2;at_home;other;course;mother;1;2;0;no;yes;no;no;yes;yes;no;no;4;3;4;1;2;2;6;81;73;74
GP;F;15;U;GT3;T;4;2;other;other;reputation;mother;1;3;0;no;yes;no;yes;yes;yes;yes;no;5;3;3;1;3;1;4;71;62;66
GP;M;16;U;GT3;T;2;2;services;other;reputation;father;2;2;0;no;no;no;yes;no;yes;yes;no;4;4;2;1;1;3;6;55;55;57
GP;M;16;U;LE3;A;4;4;teacher;health;reputation;mother;1;2;0;no;yes;no;no;yes;yes;no;no;4;1;3;3;5;5;6;74;76;77
GP;F;16;U;GT3;T;3;3;other;other;home;mother;1;3;0;no;yes;no;no;yes;yes;yes;yes;4;3;3;1;3;4;2;67;65;69
GP;F;15;U;GT3;T;4;3;services;other;reputation;mother;1;1;0;no;no;no;yes;yes;yes;yes;no;4;5;5;1;3;1;6;82;55;67
GP;F;16;U;LE3;T;3;1;other;other;home;father;1;2;0;yes;yes;no;no;yes;yes;no;no;3;3;3;2;3;2;0;52;34;40
GP;F;16;U;GT3;T;4;2;teacher;services;home;mother;2;2;0;no;yes;no;yes;yes;yes;yes;no;5;3;3;1;1;1;2;59;45;51
GP;M;15;U;LE3;T;2;2;services;health;reputation;mother;1;4;0;no;yes;no;yes;yes;yes;yes;no;4;3;4;1;1;4;2;58;49;45
GP;F;15;R;GT3;T;1;1;at_home;other;home;mother;2;4;0;yes;yes;yes;yes;yes;yes;yes;no;3;1;2;1;1;1;4;39;37;31
GP;M;16;R;GT3;T;4;3;services;other;reputation;mother;2;1;0;yes;yes;yes;yes;no;yes;yes;no;3;3;3;1;1;4;6;70;54;55
GP;F;16;U;GT3;T;2;1;other;other;course;mother;1;2;0;no;yes;no;no;yes;yes;no;yes;4;3;5;1;1;5;0;70;61;60
GP;F;16;U;GT3;T;4;4;other;other;reputation;mother;1;1;0;no;no;no;yes;no;yes;yes;no;5;3;4;1;2;1;4;65;49;58
GP;F;16;U;GT3;T;4;3;other;at_home;course;mother;1;3;0;yes;yes;no;no;yes;yes;yes;no;5;3;5;1;1;3;2;61;47;49
GP;M;16;U;GT3;T;4;4;services;services;other;mother;1;1;0;yes;yes;no;yes;yes;yes;yes;no;4;5;5;5;5;4;12;40;22;28
GP;M;16;U;GT3;T;4;4;services;teacher;other;father;1;3;0;no;yes;no;yes;yes;yes;yes;yes;4;4;3;1;1;4;0;57;41;55
GP;M;15;U;GT3;T;4;4;services;other;course;mother;1;1;0;no;yes;yes;yes;no;yes;yes;no;5;3;3;1;1;5;2;59;39;46
GP;F;15;U;GT3;T;3;2;services;other;home;mother;2;2;0;yes;yes;no;no;yes;yes;yes;no;4;3;5;1;1;2;16;51;35;46
GP;M;15;U;GT3;A;3;4;services;other;course;mother;1;2;0;no;yes;no;yes;yes;yes;yes;no;5;4;4;1;1;1;0;62;61;57
GP;F;15;U;GT3;A;3;3;other;health;reputation;father;1;4;0;yes;no;no;no;yes;yes;no;no;4;3;3;1;1;4;10;72;54;61
GP;F;15;U;GT3;T;2;2;other;other;course;mother;1;4;0;yes;yes;no;no;yes;yes;yes;no;5;1;2;1;1;3;4;99;100;95
GP;M;16;U;GT3;T;3;3;services;other;home;father;1;3;0;no;yes;no;yes;yes;yes;yes;no;5;3;3;1;1;5;4;68;62;63
GP;M;15;R;GT3;T;4;4;other;other;home;father;4;4;0;no;yes;no;yes;yes;yes;yes;yes;1;3;5;3;5;1;8;70;61;69
GP;F;16;U;LE3;T;4;4;health;health;other;mother;1;3;0;no;yes;no;yes;yes;yes;yes;yes;5;4;5;1;1;4;2;64;47;46
GP;M;15;U;LE3;A;4;4;teacher;teacher;course;mother;1;1;0;no;no;no;yes;yes;yes;yes;no;5;5;3;1;1;4;4;30;31;33
GP;F;16;R;GT3;T;3;3;services;other;reputation;father;1;3;0;yes;yes;no;yes;yes;yes;yes;no;4;1;2;1;1;2;4;65;50;58
GP;F;16;U;GT3;T;2;2;at_home;other;home;mother;1;2;1;yes;no;no;yes;yes;yes;yes;no;3;1;2;1;1;5;12;66;57;58
GP;M;15;U;LE3;T;4;2;teacher;other;course;mother;1;1;0;no;no;no;no;yes;yes;yes;no;3;5;2;1;1;3;10;100;100;93
GP;M;15;R;GT3;T;2;1;health;services;reputation;mother;1;2;0;no;no;no;yes;yes;yes;yes;yes;5;4;2;1;1;5;4;62;52;57
GP;M;16;U;GT3;T;4;4;teacher;teacher;course;father;1;2;0;no;yes;no;yes;yes;yes;yes;no;5;4;4;1;2;5;6;70;69;67
GP;M;15;U;GT3;T;4;4;other;teacher;reputation;father;2;2;0;no;yes;no;yes;yes;yes;no;no;4;4;3;1;1;2;4;64;49;57
GP;M;16;U;GT3;T;3;3;other;services;home;father;2;1;0;no;no;no;yes;yes;yes;yes;no;5;4;2;1;1;5;6;44;37;40
GP;M;17;R;GT3;T;1;3;other;other;course;father;3;2;1;no;yes;no;yes;yes;yes;yes;no;5;2;4;1;4;5;14;86;87;95
GP;M;15;U;GT3;T;3;4;other;other;reputation;father;1;1;0;no;no;no;no;yes;yes;yes;no;3;4;3;1;2;4;2;79;62;68
GP;F;15;U;GT3;T;1;2;at_home;services;course;mother;1;2;0;no;no;no;no;no;yes;yes;no;3;2;3;1;2;1;0;79;82;76
GP;M;15;U;GT3;T;2;2;services;services;home;father;1;4;0;no;yes;no;yes;yes;yes;yes;no;5;5;4;1;2;5;6;49;47;49
GP;F;16;U;LE3;T;2;4;other;health;course;father;2;2;0;no;yes;no;yes;yes;yes;yes;yes;4;2;2;1;2;5;2;90;72;81
GP;M;16;U;GT3;T;4;4;health;other;course;mother;1;1;0;no;yes;no;yes;yes;yes;yes;no;3;4;4;1;4;5;4;40;39;46
GP;F;16;U;GT3;T;2;2;other;other;home;mother;1;2;0;no;no;no;no;yes;yes;yes;yes;5;4;4;1;1;5;0;76;72;78
GP;M;15;U;GT3;T;3;4;services;services;home;father;1;1;0;yes;no;no;no;yes;yes;yes;no;5;5;5;3;2;5;2;100;90;96
GP;F;15;U;LE3;A;3;4;other;other;home;mother;1;2;0;yes;no;no;yes;yes;yes;yes;yes;5;3;2;1;1;1;0;47;28;44
GP;F;19;U;GT3;T;0;1;at_home;other;course;other;1;2;2;no;yes;no;no;no;no;no;no;3;4;2;1;1;5;0;55;41;41
GP;M;16;R;GT3;T;4;4;teacher;teacher;course;mother;1;1;0;no;no;no;yes;yes;yes;yes;no;3;5;5;2;5;4;8;67;55;57
GP;M;16;U;GT3;T;2;3;other;other;course;mother;2;3;0;no;yes;no;no;no;yes;yes;yes;3;2;3;2;2;1;4;56;47;46
GP;F;15;R;GT3;T;3;4;services;teacher;course;father;2;3;0;no;yes;no;no;yes;yes;yes;yes;4;2;2;2;2;5;0;37;36;35
GP;F;18;U;GT3;T;2;1;services;other;reputation;mother;1;2;3;no;yes;no;yes;yes;no;yes;yes;5;4;5;1;3;5;10;66;58;55
GP;F;17;U;LE3;A;2;1;other;other;course;mother;3;1;0;no;yes;no;no;yes;yes;yes;no;3;2;2;1;2;5;8;46;28;39
GP;F;15;U;GT3;T;1;1;at_home;other;course;mother;3;1;0;no;yes;no;yes;no;yes;yes;yes;4;3;3;1;2;4;6;74;66;68
GP;F;17;U;LE3;T;2;2;other;other;course;father;1;1;0;no;yes;no;no;yes;yes;yes;yes;3;4;4;1;3;5;2;48;46;40
GP;F;16;U;GT3;A;3;4;services;other;course;father;1;1;0;no;no;no;no;yes;yes;yes;no;3;2;1;1;4;5;12;93;83;82
GP;M;16;U;GT3;T;2;1;at_home;other;course;mother;4;1;0;no;no;no;no;yes;yes;no;no;3;2;1;1;1;2;4;51;52;53
GP;F;16;U;GT3;A;2;2;other;other;home;mother;1;1;1;no;no;no;no;yes;yes;no;no;5;3;4;1;1;5;12;59;57;62
GP;M;15;R;GT3;T;3;4;at_home;teacher;course;mother;4;2;0;no;yes;no;no;yes;yes;no;yes;5;3;3;1;1;5;2;80;71;85
GP;F;15;U;GT3;T;4;4;services;at_home;course;mother;1;3;0;no;yes;no;yes;yes;yes;yes;yes;4;3;3;1;1;5;4;43;36;54
GP;M;17;R;GT3;T;3;4;at_home;other;course;mother;3;2;0;no;no;no;no;yes;yes;no;no;5;4;5;2;4;5;2;69;45;58
GP;F;16;R;GT3;T;1;1;at_home;other;course;mother;4;2;0;no;yes;no;no;yes;yes;no;no;5;1;3;1;1;3;0;89;79;79
GP;M;18;U;LE3;T;3;1;services;services;course;mother;2;1;0;no;no;no;yes;yes;yes;yes;yes;3;3;4;4;5;4;2;36;32;23
GP;F;18;U;GT3;A;3;2;other;services;course;other;1;3;0;no;yes;no;yes;no;yes;yes;yes;4;3;3;5;1;5;10;68;60;65
GP;F;16;R;GT3;T;1;1;other;services;reputation;mother;2;1;0;no;yes;no;yes;yes;yes;no;yes;3;3;3;1;2;1;8;70;49;54
GP;F;16;U;GT3;A;3;3;other;other;course;other;2;1;0;no;yes;no;yes;no;yes;yes;yes;4;3;2;1;1;5;4;79;59;66
GP;M;16;U;LE3;T;1;1;services;other;course;mother;1;2;2;no;no;no;no;yes;yes;no;yes;4;4;4;1;3;5;0;43;45;41
GP;F;15;U;GT3;T;4;4;teacher;teacher;course;mother;2;1;0;no;no;no;yes;yes;yes;yes;no;4;3;2;1;1;5;6;41;35;37
GP;F;15;R;GT3;T;1;1;other;other;course;mother;3;1;1;no;no;no;yes;yes;yes;yes;yes;5;5;5;1;1;1;2;74;69;77
GP;M;15;U;GT3;T;4;3;teacher;services;course;father;2;4;0;yes;yes;no;no;yes;yes;yes;no;2;2;2;1;1;3;6;70;60;65
GP;F;15;U;GT3;A;3;3;services;services;home;mother;1;2;0;no;no;no;no;no;yes;no;yes;1;3;2;2;3;1;24;70;59;63
GP;M;16;U;GT3;T;4;4;services;services;course;mother;1;3;0;no;yes;no;yes;yes;yes;yes;no;5;3;3;1;3;5;0;71;68;64
GP;M;16;U;LE3;T;2;2;services;services;reputation;father;2;1;0;no;yes;no;yes;yes;yes;yes;no;2;3;3;2;2;2;4;53;41;38
GP;F;15;U;GT3;T;4;4;teacher;services;course;mother;1;3;0;no;yes;no;yes;yes;yes;yes;no;4;2;2;1;1;5;2;69;60;62
GP;F;16;U;LE3;T;1;1;at_home;at_home;course;mother;1;1;0;no;no;no;no;yes;yes;yes;no;3;4;4;3;3;1;4;70;56;62
GP;M;17;U;GT3;T;2;1;other;other;home;mother;1;1;0;no;yes;no;no;yes;yes;yes;no;5;4;5;1;2;5;22;52;41;55
GP;F;15;U;GT3;T;1;1;other;services;course;father;1;2;0;no;yes;no;no;yes;yes;yes;no;4;4;2;1;2;5;0;99;81;90
GP;F;15;U;LE3;A;2;1;at_home;other;home;mother;2;1;0;no;yes;no;yes;yes;no;yes;yes;4;4;2;1;1;5;0;74;64;73
GP;F;15;U;GT3;T;3;2;health;services;home;father;1;2;1;no;yes;no;no;yes;yes;yes;no;3;3;2;1;1;3;2;44;33;35
GP;F;15;U;GT3;T;1;2;at_home;other;course;mother;1;2;0;no;yes;no;no;no;yes;yes;no;4;3;2;1;1;5;6;77;75;70
GP;F;15;U;GT3;T;1;2;at_home;services;course;father;1;2;0;no;no;no;no;no;yes;no;yes;2;3;4;2;4;1;6;47;33;34
GP;M;16;U;GT3;T;4;4;teacher;teacher;course;mother;1;1;0;no;yes;no;no;yes;no;yes;yes;3;3;2;2;1;5;16;79;66;68
GP;M;15;U;LE3;A;2;1;services;other;course;mother;4;1;0;no;no;no;no;yes;yes;yes;no;4;5;5;2;5;5;0;86;69;87
GP;M;18;U;LE3;T;1;1;other;other;course;mother;1;1;2;no;no;no;no;yes;no;yes;yes;2;3;5;2;5;4;0;50;54;48
GP;M;16;U;LE3;T;2;1;at_home;other;course;mother;1;1;1;no;no;no;yes;yes;yes;no;yes;4;4;4;3;5;5;6;82;72;81
GP;F;15;R;GT3;T;3;3;services;services;reputation;other;2;3;0;no;yes;yes;yes;yes;yes;yes;yes;4;2;1;2;3;3;2;72;70;66
GP;M;19;U;GT3;T;3;2;services;at_home;home;mother;1;1;0;no;yes;no;no;yes;no;yes;yes;4;5;4;1;1;4;6;80;56;71
GP;F;17;U;GT3;T;4;4;other;teacher;course;mother;1;1;0;yes;yes;no;no;yes;yes;no;yes;4;2;1;1;1;4;0;99;86;94
GP;M;15;R;GT3;T;2;3;at_home;services;course;mother;1;2;0;yes;no;yes;yes;yes;yes;no;no;4;4;4;1;1;1;0;61;59;59
GP;M;17;R;LE3;T;1;2;other;other;reputation;mother;1;1;3;no;no;no;no;yes;yes;no;no;2;2;2;3;3;5;14;51;44;47
GP;F;18;R;GT3;T;1;1;at_home;other;course;mother;3;1;3;no;yes;no;yes;no;yes;no;no;5;2;5;1;5;4;6;49;50;46
GP;M;16;R;GT3;T;2;2;at_home;other;course;mother;3;1;0;no;no;no;no;no;yes;no;no;4;2;2;1;2;3;4;50;39;46
GP;M;16;U;GT3;T;3;3;other;services;course;father;1;2;1;no;yes;no;no;yes;yes;yes;yes;4;5;5;4;4;5;0;64;65;62
GP;M;16;U;LE3;T;1;2;health;services;course;mother;2;1;2;no;no;no;no;no;yes;yes;no;4;4;5;3;5;5;0;71;79;69
GP;M;17;R;LE3;T;2;1;at_home;other;course;mother;2;1;1;no;no;yes;yes;yes;no;yes;yes;3;3;2;2;2;5;8;70;57;56
GP;M;17;R;GT3;T;3;2;other;other;course;mother;2;2;2;yes;yes;no;no;yes;yes;yes;yes;4;4;4;1;4;3;4;80;64;72
GP;M;15;U;LE3;T;1;2;other;other;course;mother;2;1;0;no;no;no;yes;yes;yes;no;no;4;4;4;2;4;5;2;65;67;74
GP;M;16;U;GT3;T;1;3;at_home;services;course;father;1;1;1;no;no;no;no;yes;no;yes;no;5;3;3;1;4;2;2;91;90;91
GP;M;17;R;LE3;T;1;1;other;services;course;mother;4;2;0;no;no;no;yes;yes;no;no;yes;5;3;5;1;5;5;0;60;47;52
GP;M;17;U;GT3;T;3;2;services;services;course;mother;2;1;3;no;yes;no;yes;no;no;no;no;4;5;2;1;1;2;10;100;82;92
GP;M;16;U;GT3;T;2;2;other;other;course;father;1;2;0;no;no;no;no;yes;no;yes;no;4;3;5;2;4;4;0;76;63;75
GP;F;16;U;GT3;T;4;2;health;services;home;father;1;2;0;no;no;no;no;yes;yes;yes;yes;4;2;3;1;1;3;0;50;31;41
